 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  184     ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  FE  00                      ,00:02:05:825,
  185     ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,80                              ,00:02:05:826,
  186     ,Receive ,                    ,Ext / Data,0xEF87310,4   ,20  AA  AB  C0                  ,00:02:05:827,
  187     ,Receive ,                    ,Ext / Data,0x12F81010,4   ,28  00  80  00                  ,00:02:05:828,
  188     ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,80                              ,00:02:05:836,
  189     ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:02:05:907,
  190     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  80  00              ,00:02:05:921,
  191     ,Receive ,                    ,Ext / Data,0x12F85351,8   ,00  21  00  00  00  00  59  40  ,00:02:05:946,
  192     ,Receive ,                    ,Ext / Data,0xEF95251,8   ,01  B8  B8  F0  20  84  BA  FE  ,00:02:05:947,
  193     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:02:05:950,
  194     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:06:013,
  195     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:06:016,
  196     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:06:018,
  197     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:02:06:018,
  198     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:06:019,
  199     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  80  00              ,00:02:06:020,
  200     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:06:021,
  201     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,01  35  46  4E  52  4C  35  00  ,00:02:06:022,
  202     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:06:023,
  203     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:06:023,
  204     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:06:024,
  205     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:06:025,
  206     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:06:026,
  207     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,08  00                          ,00:02:06:026,
